,MWP,GLON,GLAT,Disp,MajAxis,MinAxis,Reff,e_Reff,theta,e_theta,Ecc,HR2,HR3,RelFlag,HierFlag,IDDR1,IDA14,Dist,IDCW,Simbad,_RA.icrs,_DE.icrs
2G3235367-0034998,2G3235367-0034998,323.5367,-0.35,0.26,1.07,0.95,1.01,0.35,9,114,0.47,0.51,0.45,R,,1G323536-003512,G323.535-00.352,,S86,Simbad,232.7269,-56.7019
2G3379704-0047203,2G3379704-0047203,337.9705,-0.472,0.73,2.96,2.21,2.61,0.61,84,114,0.66,0.37,0.65,R,,1G337965-004696,G337.957-00.474,,S36,Simbad,250.3416,-47.0899
2G0024521+0013755,2G0024521+0013755,2.4522,0.1376,0.14,0.6,0.46,0.53,0.1,27,117,0.65,,0.13,C,,1G002452+001373,G002.451+00.136,,,Simbad,267.7041,-26.7652
2G3313940+0052765,2G3313940+0052765,331.3941,0.5276,0.9,3.89,3.06,3.5,0.58,46,83,0.62,0.22,0.5,R,,1G331374+005224,G331.365+00.521,,S57,Simbad,242.2187,-51.0947
2G0088122-0001982,2G0088122-0001982,8.8123,-0.0198,0.08,0.53,0.38,0.46,0.08,53,36,0.7,,0.26,C,,1G008813-000178,G008.811-00.023,,CN121,Simbad,271.3392,-21.3365
2G0194978+0014204,2G0194978+0014204,19.4978,0.1421,0.34,0.64,0.4,0.53,0.16,39,84,0.78,0.17,0.21,R,,1G019494+001406,,,,Simbad,276.515,-11.8668
2G0127511-0014385,2G0127511-0014385,12.7512,-0.1439,0.52,2.37,1.67,2.05,0.37,1,130,0.71,0.09,0.46,R,,1G012765-001320,G012.761-00.133,,,Simbad,273.4782,-17.9492
2G0300675+0009643,2G0300675+0009643,30.0675,0.0964,0.05,0.4,0.21,0.32,0.03,39,7,0.85,,0.13,C,,,G030.067+00.097,,,Simbad,281.4666,-2.5051
2G0329568+0012555,2G0329568+0012555,32.9569,0.1255,0.14,0.53,0.43,0.48,0.11,143,101,0.59,0.18,0.17,R,,1G032957+001262,G032.957+00.125,4.8,,Simbad,282.7592,0.0795
2G0198195-0032265,2G0198195-0032265,19.8196,-0.3226,0.13,0.66,0.55,0.61,0.14,54,90,0.54,0.12,0.1,C,,,G019.821-00.325,3.5,,Simbad,277.0883,-11.7983
2G3318627-0012178,2G3318627-0012178,331.8628,-0.1218,0.19,0.4,0.28,0.34,0.19,46,85,0.72,0.13,0.2,R,,,G331.865-00.122,,,Simbad,243.4717,-51.2504
2G3420755+0043311,2G3420755+0043311,342.0756,0.4331,0.33,1.3,1.15,1.23,0.33,5,97,0.48,0.4,0.36,R,,1G342073+004320,,,S18,Simbad,253.1386,-43.3756
2G0494860-0025799,2G0494860-0025799,49.486,-0.258,0.07,0.26,0.19,0.23,0.07,15,58,0.7,0.15,0.24,R,,,G049.485-00.258,,,Simbad,290.8132,14.5675
2G3449923-0026324,2G3449923-0026324,344.9924,-0.2632,0.08,0.45,0.39,0.42,0.11,72,121,0.47,,0.13,C,,1G344991-002642,G344.993-00.265,,,Simbad,256.3291,-41.5175
2G3399589+0005231,2G3399589+0005231,339.959,0.0523,0.46,0.65,0.4,0.54,0.26,12,86,0.79,0.09,0.11,C,,1G339960+000532,G339.952+00.052,,,Simbad,251.6493,-45.2436
2G3325833-0056189,2G3325833-0056189,332.5833,-0.5619,0.13,0.42,0.3,0.36,0.12,127,71,0.69,,0.13,C,,1G332584-005622,G332.585-00.561,,,Simbad,244.7857,-51.0669
2G0139644-0014848,2G0139644-0014848,13.9644,-0.1485,0.13,0.37,0.3,0.34,0.07,167,52,0.6,,0.13,C,,1G013964-001485,G013.962-00.149,,,Simbad,274.0891,-16.8852
2G3283139-0059136,2G3283139-0059136,328.314,-0.5914,0.18,0.64,0.58,0.61,0.16,71,132,0.42,0.22,0.49,R,,1G328314-005907,G328.315-00.594,,,Simbad,239.6418,-53.9731
