,dec_min,ra_min,dec_max,ra_max,fits_path
0,-0.797367016765913,300.71181875915784,-0.7897169110481432,300.71961929618925,spitzer_30000+0000_rgb
0,-0.19341991994080077,301.15207103340117,-0.17538801907945312,301.1706298711062,spitzer_30000+0000_rgb
0,-0.042559244366074216,299.61592513404906,-0.022374430114797363,299.63546142942664,spitzer_30000+0000_rgb
0,0.8769181227412353,55.432085353517685,0.9006152253688476,55.45502642384492,spitzer_05400+0000_rgb
0,-0.15691161952463378,54.70440648709656,-0.13275138213602783,54.72802676680828,spitzer_05400+0000_rgb
0,-0.0739716789477832,53.48397266141027,0.040466226808879395,53.59879834385577,spitzer_05400+0000_rgb
0,0.3600170862435791,52.593546238022874,0.38293407820190917,52.61670769612459,spitzer_05400+0000_rgb
0,0.22496516702118163,55.237533048334306,0.28073079146352536,55.29421186043028,spitzer_05400+0000_rgb
0,-0.09299552315858642,54.07986881430548,-0.02630533827861328,54.14253954935585,spitzer_05400+0000_rgb
0,-0.06910302665271972,53.810694337830554,-0.046781168151979975,53.83206982589805,spitzer_05400+0000_rgb
0,-0.06145515889065674,53.638244795284216,-0.04284521441529785,53.65724902686501,spitzer_05400+0000_rgb
0,0.08761987217067627,53.07537256784003,0.10969441622076416,53.09660531502353,spitzer_05400+0000_rgb
0,-0.4106829386015039,54.82513581531635,-0.3875172487289941,54.84867048304975,spitzer_05400+0000_rgb
0,-0.4868054964340283,54.9160000315301,-0.46486107933576415,54.93812954791037,spitzer_05400+0000_rgb
0,0.12609553910362792,53.143726571062736,0.17881477685768554,53.19612435699709,spitzer_05400+0000_rgb
0,-0.2551671523962451,53.60280989980524,-0.2325483375182666,53.62512711963414,spitzer_05400+0000_rgb
0,-0.25417586008844967,54.00515755203176,-0.23341096771797362,54.025870605210045,spitzer_05400+0000_rgb
0,0.9125927643115722,54.507914952603144,0.9350024320562256,54.53036286904533,spitzer_05400+0000_rgb
0,-0.03974316366506836,54.38107771428818,-0.021229491975205076,54.398998205645434,spitzer_05400+0000_rgb
0,-0.673804355241123,52.83576938013189,-0.6515953710882129,52.8583193473543,spitzer_05400+0000_rgb
0,-0.6671123793965844,54.2757045057065,-0.6523644140492725,54.289863441111784,spitzer_05400+0000_rgb
0,0.22365771260717285,53.147519539774805,0.23646874763531248,53.16000033392083,spitzer_05400+0000_rgb
0,0.11091096894297363,53.11484099192451,0.14416633970416992,53.14894385616681,spitzer_05400+0000_rgb
0,-0.30302375999059566,55.150295480033506,-0.28597566445795164,55.1675670863061,spitzer_05400+0000_rgb
0,-0.9602277736008471,52.51600457213162,-0.9274744169947869,52.546793959844564,spitzer_05400+0000_rgb
0,0.9848609927555566,54.41873876534386,1.0004078676000878,54.43383902560953,spitzer_05400+0000_rgb
0,-0.32584114257492186,55.33168549286804,-0.3039785939654224,55.353351955867524,spitzer_05400+0000_rgb
0,-0.004224772093168945,53.632216475032,0.02903784150649658,53.66578402026924,spitzer_05400+0000_rgb
0,0.2495533829211328,54.22195597108773,0.2697988254270117,54.24242577882574,spitzer_05400+0000_rgb
